OPS,DW,MRS,DMC,DMR,ME,MODULARITY,PORTABILITY,REUSABILITY,TESTABILITY,CONVERTIBILITY,FLEXIBILITY,CONFORMITY,MAINTAINABILITY,WAPQ
0.571429,0.105547,0.126532,0.583333,0.272727,0.785561,0.567568,1,1,0.693603,0.929762,0.929825,0.088028,0.331915,0.919779
0.357143,0.016596,0.02687,0.75,0.673469,0.959117,0.531532,1,1,0.670034,1,0.992481,1,0.642553,0.990318
0.035714,0.001165,0.125392,0.083333,0.238095,0.195929,0.855856,1,1,0.808081,1,0.746867,0.806338,0.659574,0.97787
0.089286,0.021692,0.075235,0.416667,0.428571,0.688489,0.666667,1,1,0.488215,1,0.626566,0.316901,0.455319,0.917012
0.160714,0.016596,0.142947,0.5,0.257143,0.712514,0.36036,1,1,0.892256,0.902381,0.553885,0,0.297872,0.890733
0.017857,0.005095,0.018809,0.166667,0.714286,0.452129,0.279279,1,1,0.606061,1,0.877193,0.93662,0.565957,0.968188
0.017857,0.001165,0,0.25,1,0.602838,0,1,0,0.848485,1,0.714286,0.169014,0.051064,0.773167
0.214286,0.013248,0.1823,0.583333,0.208791,0.747993,0.621622,0.818182,1,0.286195,1,0.839599,0.75,0.408511,0.921162
0.017857,0.002184,0,0.25,1,0.602838,0.54955,1,1,0.616162,1,0.679198,0.429577,0.310638,0.923928
0.053571,0.005678,0.028213,0.416667,0.714286,0.725106,0.288288,1,1,0.774411,0.194048,0.558897,0.665493,0.289362,0.813278
0,0.000582,0,0.083333,1,0.301419,0.576577,1,1,0.912458,1,0.879699,0.887324,0.625532,0.988935
0,0.001165,0,0.083333,1,0.301419,0.657658,1,1,0.659933,1,0.784461,0.862676,0.604255,0.969571
0.017857,0.002184,0.037618,0.083333,0.428571,0.301419,0.585586,1,1,0.548822,1,0.944862,0.59507,0.485106,0.95574
0.035714,0.005532,0.012539,0.333333,0.809524,0.678684,0.630631,1,1,0.878788,1,0.962406,0.792254,0.591489,0.987552
0.017857,0.00131,0,0.25,1,0.602838,0.630631,1,1,0.777778,1,0.686717,0.753521,0.578723,0.961272
0.089286,0.021692,0.075235,0.416667,0.428571,0.688489,0.477477,1,1,0.565657,1,0.724311,0.788732,0.557447,0.951591
0.160714,0.016596,0.142947,0.5,0.257143,0.712514,0.585586,0.846154,1,0.3367,1,0.779449,0.704225,0.404255,0.919779
0.017857,0.00131,0,0.25,1,0.602838,0.576577,1,1,0.632997,1,0.686717,0.454225,0.32766,0.928077
0.035714,0.005532,0.012539,0.333333,0.809524,0.678684,0.279279,1,1,0.606061,1,0.877193,0.93662,0.565957,0.968188
0.160714,0.016596,0.142947,0.5,0.257143,0.712514,0.540541,1,1,0.801347,0,0.383459,0.489437,0.217021,0.767635
0.035714,0.005532,0.012539,0.333333,0.809524,0.678684,0.576577,1,1,0.632997,1,0.686717,0.454225,0.32766,0.928077
0.017857,0.00131,0,0.25,1,0.602838,0.585586,0.846154,1,0.3367,1,0.779449,0.704225,0.404255,0.919779
0,0.000146,0.037618,0,0.428571,0,0.585586,0.846154,1,0.3367,1,0.779449,0.704225,0.404255,0.919779
0.017857,0.000728,0.112853,0,0.142857,0,0.576577,1,1,0.632997,1,0.686717,0.454225,0.32766,0.928077
0,0.000146,0.037618,0,0.428571,0,0.540541,1,1,0.801347,0,0.383459,0.489437,0.217021,0.767635
0,0.000146,0.037618,0,0.428571,0,0.585586,0.846154,1,0.3367,1,0.779449,0.704225,0.404255,0.919779
0,0.000146,0.037618,0,0.428571,0,0.576577,1,1,0.632997,1,0.686717,0.454225,0.32766,0.928077
0,0.000146,0.037618,0,0.428571,0,0.675676,1,1,0.814815,1,0.937343,0.528169,0.519149,0.968188
0.017857,0.000728,0.018809,0.166667,0.714286,0.452129,0.486486,1,1,0.868687,1,0.784461,0.228873,0.485106,0.940526
0,0.006842,0,0.083333,1,0.301419,0.756757,1,0.832895,0.814815,0.988095,0.937343,0.528169,0.485106,0.944675
0,0.01616,0,0.083333,1,0.301419,0.675676,1,1,0.814815,1,0.937343,0.176056,0.395745,0.946058
0,0.019217,0,0.083333,1,0.301419,0.675676,1,1,0.814815,1,0.937343,0.176056,0.395745,0.946058
0,0.018926,0,0.083333,1,0.301419,0.72973,1,0.932895,0.811448,1,1,0.309859,0.408511,0.948824
0.017857,0.00131,0.018809,0.166667,0.714286,0.452129,0.54955,0,1,0.855219,1,0.79198,0.165493,0.114894,0.824343
0.142857,0.004804,0.050157,0.166667,0.428571,0.439815,0.846847,1,1,0.538721,1,0.774436,0.792254,0.591489,0.961272
0.178571,0.021692,0.061556,0.916667,0.480519,1,0.207207,0.879371,1,0,0.160714,0.541353,0.123239,0,0.715076
0.160714,0.017033,0.082759,0.75,0.428571,0.895501,1,1,1,0.892256,0.891667,0.909774,0.943662,1,1
0.071429,0.014849,0.022571,0.583333,0.771429,0.857971,0.954955,1,1,0.791246,0.889286,0.924812,0.929577,0.961702,0.993084
0.303571,0.005969,0.119122,0.25,0.238095,0.521327,0.972973,1,1,0.841751,0.890476,0.922306,0.950704,0.978723,0.997234
0.392857,0.098413,0.19463,1,0.180124,0.977229,0.702703,0.865385,1,0.457912,1,0.804511,0.65493,0.395745,0.929461
0.178571,0.024458,0.064976,0.833333,0.428571,0.972598,0.801802,1,1,0.925926,1,0.471178,0.651408,0.574468,0.952974
0.25,0.020673,0.318495,0.5,0.12381,0.63392,0.477477,0.963287,1,0.043771,1,0.824561,0.739437,0.408511,0.919779
0.196429,0.004222,0.112853,0.083333,0.142857,0.301419,0.279279,0.933566,1,0.212121,1,0.786967,0.619718,0.387234,0.91148
0.125,0.019799,0.075235,0.416667,0.285714,0.748562,0.747748,1,1,0.62963,0.947619,0,0.788732,0.531915,0.900415
0.107143,0.027078,0.075235,0.333333,0.265306,0.684505,0.477477,1,1,0.942761,0.121429,0.413534,0.478873,0.306383,0.79668
0,0,0,0.083333,1,0.301419,0.261261,1,1,0.713805,1,0.709273,0.859155,0.557447,0.957123
0.107143,0.010191,0.102105,0.416667,0.346939,0.668253,0.522523,0.982517,1,0.070707,1,0.837093,0.714789,0.421277,0.923928
0.553571,0.070461,0.533699,1,0.089286,0.817778,0.297297,1,1,0.555556,1,0.656642,0.052817,0.391489,0.899032
0.089286,0.003348,0.344828,0.083333,0.047619,0.124732,0.576577,0.924825,1,0.494949,1,0.756892,0.897887,0.493617,0.947441
0.035714,0.005095,0.012539,0.333333,0.809524,0.678684,0.27027,1,1,0.750842,1,0.706767,0.721831,0.502128,0.950207
0.071429,0.030281,0.045141,0.416667,0.542857,0.71465,0.477477,1,1,0.717172,0.02619,0.701754,0.630282,0.268085,0.79668
0.357143,1,0.385132,0.5,0.047619,0.692586,0.36036,1,1,0.909091,0,0.704261,0.735915,0.27234,0.806362
0.232143,0.014849,0.309001,0.5,0.142857,0.61249,0.72973,0.979021,0.932895,0.781145,0.947619,0.929825,0.447183,0.468085,0.941909
0.053571,0.003203,0.084639,0.166667,0.285714,0.423686,0.261261,1,1,0.96633,1,0.62406,0.602113,0.582979,0.952974
0.035714,0.002329,0.050157,0.166667,0.428571,0.439815,0.072072,1,1,0.973064,0.077381,0.498747,0.56338,0.32766,0.793914
0.142857,0.008589,0.188088,0.333333,0.174603,0.56557,0.900901,1,1,0.262626,0.121429,0.799499,0,0.255319,0.770401
