serv no,wmc,dit,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,amc
2118,0.186308,0.036027,0.565208,0.26884,0.668763,0.883922,0.717539,0.181189,0.602835,0.169867,0,0,0,0.088732,0.02851
2119,0.072213,0.236416,0.120622,0.069195,0.138756,0,0.098147,0.070753,0.55931,0.101062,0,0,0,0.187487,0.079125
2120,0.045661,0.196946,0.198797,0.060623,0.121193,0,0.144121,0.037647,0.693355,0.103051,0,0,0,0.190624,0.072098
2121,0.095097,0.127079,0.363881,0.090187,0.166963,0,0.214864,0.095152,0.438144,0.091122,0,0,0,0.09111,0.048732
2123,0.095097,0.127079,0.363881,0.090187,0.166963,0,0.214864,0.095152,0.438144,0.091122,0,0,0,0.09111,0.048732
2132,0.085018,0.127079,0.363881,0.08292,0.181195,0,0.214864,0.084814,0.587138,0.088181,0,0,0,0.114704,0.04867
2142,0.259113,0.046104,0.446641,0.300763,0.573363,0.299246,0.608313,0.254853,0.79063,0.285859,0,0,0,0.357758,0.056506
2143,0.073594,0.215153,0.129667,0.094299,0.184329,0.233653,0.189012,0.064231,0.657964,0.120726,0,0,0,0.20154,0.071461
2144,0.160891,0.196946,0.118978,0.14527,0.295574,0.168119,0.194133,0.158731,0.576476,0.170259,0,0,0,0.359793,0.079832
2145,0.147353,0.167548,0.286604,0.185759,0.474391,0.240789,0.445435,0.143381,0.496849,0.174706,0.031267,0.098950838,0.537066,0.329443,0.098818
2165,0.120305,0.369383,0.168368,0.090942,0.342349,0.21889,0.334141,0.140015,0.269505,0.080149,0.251266,0.229098767,0.282397,0.670252,0.224749
2168,0.114366,0.290927,0.029708,0.107685,0.124823,0,0.028838,0.106541,0.517234,0.171044,0,0,0,0.67928,0.098151
2191,0.116098,0.065633,0.463913,0.177381,0.508899,0.348477,0.580119,0.113291,0.579081,0.111891,0,0,0,0.144852,0.040304
2213,0.097351,0.074875,0.529548,0.126681,0.254775,0,0.261887,0.096454,0.582611,0.090799,0,0,0,0.373895,0.032329
2214,0.145048,0.032564,0.731859,0.210089,0.534757,0,0.298692,0.144328,0.461498,0.117801,0,0,0,0.069028,0.018312
2215,0.119204,0.196946,0.198797,0.139825,0.156655,0,0.144121,0.10027,0.590338,0.242879,0,0,0,0.260655,0.083889
2216,0.083521,0.236416,0.120622,0.103313,0.134376,0,0.098147,0.064573,0.641438,0.195044,0,0,0,0.367618,0.090642
2217,0.056489,0.236416,0.120622,0.081913,0.151935,0,0.098147,0.039003,0.813184,0.15789,0,0,0,0.246944,0.085566
2218,0.074518,0.196946,0.198797,0.104351,0.191116,0,0.144121,0.058208,0.918941,0.177866,0,0,0,0.205772,0.077382
2219,0.150649,0.290927,0.029708,0.166633,0.13937,0,0.028838,0.11869,0.421909,0.289253,0,0,0,0.324595,0.109858
2223,0.09007,0.236416,0.120622,0.11431,0.177529,0,0.098147,0.067686,0.75973,0.215836,0,0,0,0.241519,0.091492
2229,0.170717,0.196946,0.110396,0.122905,0.247941,0.146289,0.194471,0.172648,0.461413,0.140007,0,0,0,0.946108,0.07778
2243,0.065095,0.100698,0.440697,0.084822,0.176728,0,0.239037,0.06394,0.521693,0.065452,0,0,0,0.106671,0.039961
2293,0.063332,0.144945,0.317364,0.105564,0.286709,0,0.197833,0.053847,0.9771,0.125038,0,0,0,0.145597,0.056717
2294,0.107039,0.290927,0.029708,0.132954,0.176341,0,0.028838,0.078972,0.736873,0.231825,0,0,0,0.324512,0.100948
2298,0.09007,0.236416,0.120622,0.11431,0.177529,0,0.098147,0.067686,0.75973,0.215836,0,0,0,0.241519,0.091492
2303,0.059439,0.155548,0.174411,0.079021,0.171009,0.241243,0.251785,0.051863,0.527928,0.08726,0,0,0,0.318157,0.076383
2304,0.062697,0.236416,0.120622,0.092398,0.192119,0,0.098147,0.042265,0.932149,0.176766,0,0,0,0.253974,0.086425
2305,0.09007,0.236416,0.120622,0.11431,0.177529,0,0.098147,0.067686,0.75973,0.215836,0,0,0,0.241519,0.091492
2313,0.153039,0.167548,0.206593,0.123813,0.207281,0.12978,0.254971,0.152804,0.476768,0.159914,0,0,0,0.556375,0.080037
2314,0.075572,0.155548,0.233914,0.099076,0.191104,0.121098,0.279711,0.066856,0.741057,0.125288,0,0,0,0.260257,0.074879
2315,0.107039,0.290927,0.029708,0.132954,0.176341,0,0.028838,0.078972,0.736873,0.231825,0,0,0,0.324512,0.100948
2316,0.194343,0.027625,0.468626,0.211718,0.386156,0.223477,0.714603,0.194474,0.228672,0.154932,0,0.118760992,0,0.489327,0.055007
2338,0.088369,0.248404,0.232653,0.105303,0.259656,0.455053,0.415416,0.094224,0.389263,0.114525,0.164271,0.400780898,0.423157,0.430969,0.285829
2339,0.187263,0.140096,0.254784,0.174437,0.315758,0.323713,0.393442,0.190656,0.440895,0.15415,0.073558,0.260211855,0.537066,0.759396,0.137695
2340,0.113067,0.181228,0.108351,0.091089,0.257906,0.328678,0.192903,0.110541,0.439585,0.109832,0,0,0,0.67608,0.058753
2341,0.057815,0.376596,0.084636,0.071188,0.09226,0.140592,0.122284,0.046704,0.59143,0.15369,0.37072,0.257228513,0.493252,0.488767,0.238527
2370,0.074116,0.144945,0.317364,0.111412,0.252334,0,0.197833,0.065001,0.94777,0.136164,0,0,0,0.143753,0.058232
2371,0.062697,0.236416,0.120622,0.092398,0.192119,0,0.098147,0.042265,0.932149,0.176766,0,0,0,0.253974,0.086425
2372,0.10108,0.112623,0.404573,0.145429,0.341434,0,0.228236,0.094517,0.971442,0.144083,0,0,0,0.234553,0.047777
2379,0.056424,0.167548,0.263213,0.094417,0.240356,0,0.175328,0.0446,1,0.133131,0,0,0,0.171231,0.064352
2409,0.170905,0.057993,0.554569,0.204265,0.345077,0.051972,0.489878,0.169861,0.655023,0.163647,0,0,0,0.44758,0.040353
2445,0.058424,0.196946,0.198797,0.064522,0.120115,0,0.144121,0.054585,0.5366,0.086945,0,0,0,0.085279,0.070198
2450,0.270875,0.060388,0.286737,0.253014,0.396936,0.185577,0.405211,0.270993,0.356672,0.24477,0,0.31663006,0,0.970042,0.068443
2462,0.069942,0.167548,0.263213,0.081285,0.128501,0,0.175328,0.06435,0.707488,0.115302,0,0,0,0.167582,0.06516
2463,0.114366,0.290927,0.029708,0.107685,0.124823,0,0.028838,0.106541,0.517234,0.171044,0,0,0,0.302689,0.098151
2465,0.102089,0.140096,0.501158,0.156064,0.45251,0.017842,0.509859,0.101085,0.553758,0.118765,0.046035,0.192744757,0.537066,0.081413,0.103862
2534,0.092735,0.261423,0.05317,0.103633,0.123002,0.188656,0.073245,0.071326,0.512157,0.172335,0,0,0,0.470259,0.084847
2752,0.142699,0.135516,0.174809,0.095323,0.215251,0.060623,0.219358,0.144517,0.260601,0.105811,0,0,0,0.776,0.060166
2802,0.129114,0.201244,0.244165,0.152521,0.386337,0.315085,0.445389,0.132624,0.126004,0.126425,0.156115,0.282654145,0.423157,0.715415,0.221776
2803,0.102584,0.100698,0.17888,0.119922,0.256452,0.184188,0.313445,0.097875,0.238534,0.084959,0,0.059626549,0,0.507505,0.069524
